musica,artista,album,data_lancamento
INTRO : Calling,BTS,MAP OF THE SOUL : 7 ~ THE JOURNEY ~,2020-07-14
Stay Gold,BTS,MAP OF THE SOUL : 7 ~ THE JOURNEY ~,2020-07-14
Boy With Luv - Japanese ver.,BTS,MAP OF THE SOUL : 7 ~ THE JOURNEY ~,2020-07-14
Make It Right - Japanese ver.,BTS,MAP OF THE SOUL : 7 ~ THE JOURNEY ~,2020-07-14
Dionysus - Japanese ver.,BTS,MAP OF THE SOUL : 7 ~ THE JOURNEY ~,2020-07-14
IDOL - Japanese ver.,BTS,MAP OF THE SOUL : 7 ~ THE JOURNEY ~,2020-07-14
Airplane pt.2 - Japanese ver.,BTS,MAP OF THE SOUL : 7 ~ THE JOURNEY ~,2020-07-14
FAKE LOVE - Japanese ver.,BTS,MAP OF THE SOUL : 7 ~ THE JOURNEY ~,2020-07-14
Black Swan - Japanese ver.,BTS,MAP OF THE SOUL : 7 ~ THE JOURNEY ~,2020-07-14
ON - Japanese ver.,BTS,MAP OF THE SOUL : 7 ~ THE JOURNEY ~,2020-07-14
Lights,BTS,MAP OF THE SOUL : 7 ~ THE JOURNEY ~,2020-07-14
Your eyes tell,BTS,MAP OF THE SOUL : 7 ~ THE JOURNEY ~,2020-07-14
OUTRO : The Journey,BTS,MAP OF THE SOUL : 7 ~ THE JOURNEY ~,2020-07-14
Intro : Persona,BTS,MAP OF THE SOUL : 7,2020-02-21
Boy With Luv (Feat. Halsey),BTS,MAP OF THE SOUL : 7,2020-02-21
Make It Right,BTS,MAP OF THE SOUL : 7,2020-02-21
Jamais Vu,BTS,MAP OF THE SOUL : 7,2020-02-21
Dionysus,BTS,MAP OF THE SOUL : 7,2020-02-21
Interlude : Shadow,BTS,MAP OF THE SOUL : 7,2020-02-21
Black Swan,BTS,MAP OF THE SOUL : 7,2020-02-21
Filter,BTS,MAP OF THE SOUL : 7,2020-02-21
My Time,BTS,MAP OF THE SOUL : 7,2020-02-21
Louder than bombs,BTS,MAP OF THE SOUL : 7,2020-02-21
ON,BTS,MAP OF THE SOUL : 7,2020-02-21
UGH!,BTS,MAP OF THE SOUL : 7,2020-02-21
00:00 (Zero O’Clock),BTS,MAP OF THE SOUL : 7,2020-02-21
Inner Child,BTS,MAP OF THE SOUL : 7,2020-02-21
Friends,BTS,MAP OF THE SOUL : 7,2020-02-21
Moon,BTS,MAP OF THE SOUL : 7,2020-02-21
Respect,BTS,MAP OF THE SOUL : 7,2020-02-21
We are Bulletproof : the Eternal,BTS,MAP OF THE SOUL : 7,2020-02-21
Outro : Ego,BTS,MAP OF THE SOUL : 7,2020-02-21
ON (Feat. Sia),BTS,MAP OF THE SOUL : 7,2020-02-21
Me Libera,Banda Djavú,Djavú em Ritmo de São João,2025-06-06
Rubi,Banda Djavú,Djavú em Ritmo de São João,2025-06-06
Soca Soca,Banda Djavú,Djavú em Ritmo de São João,2025-06-06
Não Desligue o Telefone,Banda Djavú,Djavú em Ritmo de São João,2025-06-06
Meteoro,Banda Djavú,Djavú em Ritmo de São João,2025-06-06
Atração Pitbull,Banda Djavú,Djavú em Ritmo de São João,2025-06-06
Xote dos Milagres / Xote da Alegria /,Banda Djavú,Djavú em Ritmo de São João,2025-06-06
100 Anos,Banda Djavú,Djavú em Ritmo de São João,2025-06-06
Valeu,Banda Djavú,Djavú em Ritmo de São João,2025-06-06
Colo de Menina,Banda Djavú,Djavú em Ritmo de São João,2025-06-06
Atração Pitbull - Ao Vivo,Banda Djavú,O Retorno [Ao Vivo],2023-12-01
Maciota Light - Ao Vivo,Banda Djavú,O Retorno [Ao Vivo],2023-12-01
Me Libera - Ao Vivo,Banda Djavú,O Retorno [Ao Vivo],2023-12-01
Não Desligue o Telefone - Ao Vivo,Banda Djavú,O Retorno [Ao Vivo],2023-12-01
Nave do Amor - Ao Vivo,Banda Djavú,O Retorno [Ao Vivo],2023-12-01
Rubi - Ao Vivo,Banda Djavú,O Retorno [Ao Vivo],2023-12-01
"Soca, Soca - Ao Vivo",Banda Djavú,O Retorno [Ao Vivo],2023-12-01
Toma Toma - Ao Vivo,Banda Djavú,O Retorno [Ao Vivo],2023-12-01
Tornado - Ao Vivo,Banda Djavú,O Retorno [Ao Vivo],2023-12-01
Rubi,Banda Djavú,O Retorno,2023-11-29
Me Libera,Banda Djavú,O Retorno,2023-11-29
Maciota Light,Banda Djavú,O Retorno,2023-11-29
Nave do Amor,Banda Djavú,O Retorno,2023-11-29
Atração Pitbull,Banda Djavú,O Retorno,2023-11-29
Não Desligue o Telefone,Banda Djavú,O Retorno,2023-11-29
Meteoro,Banda Djavú,O Retorno,2023-11-29
Larga do Meu Pé,Banda Djavú,O Retorno,2023-11-29
Lábios Divididos,Banda Djavú,O Retorno,2023-11-29
Te Quero Amor,Banda Djavú,O Retorno,2023-11-29
Tudo Entre Nós,Banda Djavú,O Retorno,2023-11-29
Cala Boca e Beija Logo,Banda Djavú,O Retorno,2023-11-29
Escute o Meu Coração,Banda Djavú,O Retorno,2023-11-29
Oh Meu Amor,Banda Djavú,O Retorno,2023-11-29
Tornado,Banda Djavú,O Retorno,2023-11-29
Mais Mais,Banda Djavú,O Retorno,2023-11-29
Salada Mista,Banda Djavú,O Retorno,2023-11-29
"Soca, Soca",Banda Djavú,O Retorno,2023-11-29
Toma Toma,Banda Djavú,O Retorno,2023-11-29
Dança da Calcinha,Banda Djavú,O Retorno,2023-11-29
Dance Comigo o Pancadão,Banda Djavú,O Retorno,2023-11-29
Não Vai Me Esquecer,Banda Djavú,16 Anos de Sucesso!,2023-11-22
Assina Aí,Banda Djavú,16 Anos de Sucesso!,2023-11-22
Sua Vaqueira,Banda Djavú,16 Anos de Sucesso!,2023-11-22
